period_date,year,period,period_abbr,value,industry_text,dataelement_code,dataelement_text,ratelevel_code
1/1/2021,2021,M01,JAN,3306,Total nonfarm,QU,Quits,L
1/1/2019,2019,M01,JAN,2.3,Total nonfarm,QU,Quits,R
1/1/2020,2020,M01,JAN,2.3,Total nonfarm,QU,Quits,R
1/1/2021,2021,M01,JAN,2.3,Total nonfarm,QU,Quits,R
1/1/2019,2019,M01,JAN,5511,Total nonfarm,TS,Total separations,L
1/1/2020,2020,M01,JAN,5714,Total nonfarm,TS,Total separations,L
1/1/2021,2021,M01,JAN,5323,Total nonfarm,TS,Total separations,L
1/1/2019,2019,M01,JAN,3.7,Total nonfarm,TS,Total separations,R
1/1/2020,2020,M01,JAN,3.8,Total nonfarm,TS,Total separations,R
1/1/2021,2021,M01,JAN,3.7,Total nonfarm,TS,Total separations,R
1/1/2019,2019,M01,JAN,0.9,Total nonfarm,UO,Unemployed persons per job opening ratio,R
1/1/2020,2020,M01,JAN,0.8,Total nonfarm,UO,Unemployed persons per job opening ratio,R
1/1/2021,2021,M01,JAN,1.4,Total nonfarm,UO,Unemployed persons per job opening ratio,R
1/1/2019,2019,M01,JAN,5373,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,5584,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,5102,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,4.2,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,4.3,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,4.2,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,6780,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,6336,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,6380,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,5,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.7,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,5,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,1571,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,1692,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,1634,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.2,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1.3,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.3,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,248,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,293,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,233,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,3326,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,3390,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,3140,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,2.6,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,2.6,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,2.6,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,5145,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,5374,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,5007,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,4,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,4.2,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,4.1,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,736,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,861,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,761,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,4.1,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,4.6,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,4.1,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,840,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,1032,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,1086,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,4.4,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,5.2,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,5.5,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,196,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,192,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,263,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.1,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.4,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,43,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,68,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,37,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.4,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,442,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,440,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,379,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,2.4,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,2.3,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,2,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,681,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,700,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,679,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,3.8,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,3.7,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,3.7,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,1604,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,1570,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,1471,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,4.4,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,4.3,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,4.3,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,1908,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,1647,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,1666,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,5,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.3,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,4.6,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,450,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,484,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,376,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.2,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1.3,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.1,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,76,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,77,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,69,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,1049,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,1002,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,1011,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,2.9,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,2.8,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,2.9,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,1575,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,1563,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,1456,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,4.4,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,4.3,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,4.2,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,1803,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,1905,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,1684,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,4.5,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,4.8,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,4.5,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,2210,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,1872,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,1980,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,5.2,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.5,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,5,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,500,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,553,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,543,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.2,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1.4,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.4,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,70,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,76,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,59,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,1071,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,1161,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,1079,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,2.6,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,2.9,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,2.9,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,1641,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,1790,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,1682,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,4.1,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,4.5,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,4.5,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,846,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,808,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,808,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,4.3,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,3.9,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,4.3,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,1088,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,1085,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,1044,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,5.2,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.9,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,5.3,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,283,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,318,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,318,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.4,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1.5,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.7,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,34,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,43,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,38,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,530,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,517,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,445,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,2.7,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,2.5,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,2.4,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,847,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,878,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,801,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,4.3,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,4.2,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,4.3,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,335,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,387,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,330,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,3.2,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,3.6,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,3.6,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,615,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,565,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,485,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,5.6,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.9,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,5.1,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,128,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,130,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,120,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.2,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1.2,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.3,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,21,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,21,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,23,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.3,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,206,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,237,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,202,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,2,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,2.2,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,2.2,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,355,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,388,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,345,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,3.4,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,3.6,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,3.8,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,49,Total private,HI,Hires,L
1/1/2020,2020,M01,JAN,54,Total private,HI,Hires,L
1/1/2021,2021,M01,JAN,48,Total private,HI,Hires,L
1/1/2019,2019,M01,JAN,1.8,Total private,HI,Hires,R
1/1/2020,2020,M01,JAN,1.8,Total private,HI,Hires,R
1/1/2021,2021,M01,JAN,1.9,Total private,HI,Hires,R
1/1/2019,2019,M01,JAN,119,Total private,JO,Job openings,L
1/1/2020,2020,M01,JAN,135,Total private,JO,Job openings,L
1/1/2021,2021,M01,JAN,119,Total private,JO,Job openings,L
1/1/2019,2019,M01,JAN,4.3,Total private,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.4,Total private,JO,Job openings,R
1/1/2021,2021,M01,JAN,4.5,Total private,JO,Job openings,R
1/1/2019,2019,M01,JAN,15,Total private,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,15,Total private,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,15,Total private,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,0.6,Total private,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,0.5,Total private,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,0.6,Total private,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,5,Total private,OS,Other separations,L
1/1/2020,2020,M01,JAN,8,Total private,OS,Other separations,L
1/1/2021,2021,M01,JAN,6,Total private,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.3,Total private,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total private,OS,Other separations,R
1/1/2019,2019,M01,JAN,27,Total private,QU,Quits,L
1/1/2020,2020,M01,JAN,32,Total private,QU,Quits,L
1/1/2021,2021,M01,JAN,23,Total private,QU,Quits,L
1/1/2019,2019,M01,JAN,1,Total private,QU,Quits,R
1/1/2020,2020,M01,JAN,1.1,Total private,QU,Quits,R
1/1/2021,2021,M01,JAN,0.9,Total private,QU,Quits,R
1/1/2019,2019,M01,JAN,47,Total private,TS,Total separations,L
1/1/2020,2020,M01,JAN,55,Total private,TS,Total separations,L
1/1/2021,2021,M01,JAN,44,Total private,TS,Total separations,L
1/1/2019,2019,M01,JAN,1.8,Total private,TS,Total separations,R
1/1/2020,2020,M01,JAN,1.9,Total private,TS,Total separations,R
1/1/2021,2021,M01,JAN,1.7,Total private,TS,Total separations,R
1/1/2019,2019,M01,JAN,33,Mining and logging,HI,Hires,L
1/1/2020,2020,M01,JAN,16,Mining and logging,HI,Hires,L
1/1/2021,2021,M01,JAN,17,Mining and logging,HI,Hires,L
1/1/2019,2019,M01,JAN,4.4,Mining and logging,HI,Hires,R
1/1/2020,2020,M01,JAN,2.3,Mining and logging,HI,Hires,R
1/1/2021,2021,M01,JAN,2.9,Mining and logging,HI,Hires,R
1/1/2019,2019,M01,JAN,31,Mining and logging,JO,Job openings,L
1/1/2020,2020,M01,JAN,19,Mining and logging,JO,Job openings,L
1/1/2021,2021,M01,JAN,24,Mining and logging,JO,Job openings,L
1/1/2019,2019,M01,JAN,4,Mining and logging,JO,Job openings,R
1/1/2020,2020,M01,JAN,2.6,Mining and logging,JO,Job openings,R
1/1/2021,2021,M01,JAN,3.9,Mining and logging,JO,Job openings,R
1/1/2019,2019,M01,JAN,13,Mining and logging,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,6,Mining and logging,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,7,Mining and logging,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.8,Mining and logging,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,0.9,Mining and logging,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.2,Mining and logging,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,0,Mining and logging,OS,Other separations,L
1/1/2020,2020,M01,JAN,2,Mining and logging,OS,Other separations,L
1/1/2021,2021,M01,JAN,2,Mining and logging,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.1,Mining and logging,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.3,Mining and logging,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.4,Mining and logging,OS,Other separations,R
1/1/2019,2019,M01,JAN,17,Mining and logging,QU,Quits,L
1/1/2020,2020,M01,JAN,14,Mining and logging,QU,Quits,L
1/1/2021,2021,M01,JAN,8,Mining and logging,QU,Quits,L
1/1/2019,2019,M01,JAN,2.3,Mining and logging,QU,Quits,R
1/1/2020,2020,M01,JAN,2,Mining and logging,QU,Quits,R
1/1/2021,2021,M01,JAN,1.3,Mining and logging,QU,Quits,R
1/1/2019,2019,M01,JAN,31,Mining and logging,TS,Total separations,L
1/1/2020,2020,M01,JAN,22,Mining and logging,TS,Total separations,L
1/1/2021,2021,M01,JAN,17,Mining and logging,TS,Total separations,L
1/1/2019,2019,M01,JAN,4.1,Mining and logging,TS,Total separations,R
1/1/2020,2020,M01,JAN,3.2,Mining and logging,TS,Total separations,R
1/1/2021,2021,M01,JAN,2.8,Mining and logging,TS,Total separations,R
1/1/2019,2019,M01,JAN,426,Construction,HI,Hires,L
1/1/2020,2020,M01,JAN,418,Construction,HI,Hires,L
1/1/2021,2021,M01,JAN,346,Construction,HI,Hires,L
1/1/2019,2019,M01,JAN,5.7,Construction,HI,Hires,R
1/1/2020,2020,M01,JAN,5.5,Construction,HI,Hires,R
1/1/2021,2021,M01,JAN,4.7,Construction,HI,Hires,R
1/1/2019,2019,M01,JAN,306,Construction,JO,Job openings,L
1/1/2020,2020,M01,JAN,296,Construction,JO,Job openings,L
1/1/2021,2021,M01,JAN,300,Construction,JO,Job openings,L
1/1/2019,2019,M01,JAN,3.9,Construction,JO,Job openings,R
1/1/2020,2020,M01,JAN,3.7,Construction,JO,Job openings,R
1/1/2021,2021,M01,JAN,3.9,Construction,JO,Job openings,R
1/1/2019,2019,M01,JAN,188,Construction,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,181,Construction,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,187,Construction,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,2.5,Construction,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,2.4,Construction,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,2.5,Construction,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,22,Construction,OS,Other separations,L
1/1/2020,2020,M01,JAN,17,Construction,OS,Other separations,L
1/1/2021,2021,M01,JAN,13,Construction,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.3,Construction,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Construction,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Construction,OS,Other separations,R
1/1/2019,2019,M01,JAN,190,Construction,QU,Quits,L
1/1/2020,2020,M01,JAN,163,Construction,QU,Quits,L
1/1/2021,2021,M01,JAN,139,Construction,QU,Quits,L
1/1/2019,2019,M01,JAN,2.6,Construction,QU,Quits,R
1/1/2020,2020,M01,JAN,2.1,Construction,QU,Quits,R
1/1/2021,2021,M01,JAN,1.9,Construction,QU,Quits,R
1/1/2019,2019,M01,JAN,400,Construction,TS,Total separations,L
1/1/2020,2020,M01,JAN,362,Construction,TS,Total separations,L
1/1/2021,2021,M01,JAN,338,Construction,TS,Total separations,L
1/1/2019,2019,M01,JAN,5.4,Construction,TS,Total separations,R
1/1/2020,2020,M01,JAN,4.8,Construction,TS,Total separations,R
1/1/2021,2021,M01,JAN,4.6,Construction,TS,Total separations,R
1/1/2019,2019,M01,JAN,352,Manufacturing,HI,Hires,L
1/1/2020,2020,M01,JAN,321,Manufacturing,HI,Hires,L
1/1/2021,2021,M01,JAN,351,Manufacturing,HI,Hires,L
1/1/2019,2019,M01,JAN,2.7,Manufacturing,HI,Hires,R
1/1/2020,2020,M01,JAN,2.5,Manufacturing,HI,Hires,R
1/1/2021,2021,M01,JAN,2.9,Manufacturing,HI,Hires,R
1/1/2019,2019,M01,JAN,432,Manufacturing,JO,Job openings,L
1/1/2020,2020,M01,JAN,409,Manufacturing,JO,Job openings,L
1/1/2021,2021,M01,JAN,537,Manufacturing,JO,Job openings,L
1/1/2019,2019,M01,JAN,3.3,Manufacturing,JO,Job openings,R
1/1/2020,2020,M01,JAN,3.1,Manufacturing,JO,Job openings,R
1/1/2021,2021,M01,JAN,4.2,Manufacturing,JO,Job openings,R
1/1/2019,2019,M01,JAN,92,Manufacturing,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,126,Manufacturing,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,90,Manufacturing,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,0.7,Manufacturing,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1,Manufacturing,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,0.7,Manufacturing,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,17,Manufacturing,OS,Other separations,L
1/1/2020,2020,M01,JAN,25,Manufacturing,OS,Other separations,L
1/1/2021,2021,M01,JAN,22,Manufacturing,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.1,Manufacturing,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Manufacturing,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Manufacturing,OS,Other separations,R
1/1/2019,2019,M01,JAN,216,Manufacturing,QU,Quits,L
1/1/2020,2020,M01,JAN,189,Manufacturing,QU,Quits,L
1/1/2021,2021,M01,JAN,251,Manufacturing,QU,Quits,L
1/1/2019,2019,M01,JAN,1.7,Manufacturing,QU,Quits,R
