period_date,year,period,period_abbr,value,industry_text,state_text,state_code,dataelement_code,dataelement_text,
2019-05-01,2019,M05,MAY,6.3,Accommodation and food services,Total US,00,TS,Total separations,
2019-06-01,2019,M06,JUN,7.2,Accommodation and food services,Total US,00,HI,Hires,
2019-06-01,2019,M06,JUN,5.7,Accommodation and food services,Total US,00,JO,Job openings,
2019-06-01,2019,M06,JUN,1.7,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-06-01,2019,M06,JUN,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2019-06-01,2019,M06,JUN,5.1,Accommodation and food services,Total US,00,QU,Quits,
2019-06-01,2019,M06,JUN,7,Accommodation and food services,Total US,00,TS,Total separations,
2019-07-01,2019,M07,JUL,6.9,Accommodation and food services,Total US,00,HI,Hires,
2019-07-01,2019,M07,JUL,5.7,Accommodation and food services,Total US,00,JO,Job openings,
2019-07-01,2019,M07,JUL,1.6,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-07-01,2019,M07,JUL,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2019-07-01,2019,M07,JUL,5.1,Accommodation and food services,Total US,00,QU,Quits,
2019-07-01,2019,M07,JUL,6.9,Accommodation and food services,Total US,00,TS,Total separations,
2019-08-01,2019,M08,AUG,6.9,Accommodation and food services,Total US,00,HI,Hires,
2019-08-01,2019,M08,AUG,5.5,Accommodation and food services,Total US,00,JO,Job openings,
2019-08-01,2019,M08,AUG,1.3,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-08-01,2019,M08,AUG,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2019-08-01,2019,M08,AUG,5.1,Accommodation and food services,Total US,00,QU,Quits,
2019-08-01,2019,M08,AUG,6.5,Accommodation and food services,Total US,00,TS,Total separations,
2019-09-01,2019,M09,SEP,6.9,Accommodation and food services,Total US,00,HI,Hires,
2019-09-01,2019,M09,SEP,5.7,Accommodation and food services,Total US,00,JO,Job openings,
2019-09-01,2019,M09,SEP,2.1,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-09-01,2019,M09,SEP,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2019-09-01,2019,M09,SEP,4.6,Accommodation and food services,Total US,00,QU,Quits,
2019-09-01,2019,M09,SEP,6.8,Accommodation and food services,Total US,00,TS,Total separations,
2019-10-01,2019,M10,OCT,6.6,Accommodation and food services,Total US,00,HI,Hires,
2019-10-01,2019,M10,OCT,5.6,Accommodation and food services,Total US,00,JO,Job openings,
2019-10-01,2019,M10,OCT,1,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-10-01,2019,M10,OCT,0.3,Accommodation and food services,Total US,00,OS,Other separations,
2019-10-01,2019,M10,OCT,4.9,Accommodation and food services,Total US,00,QU,Quits,
2019-10-01,2019,M10,OCT,6.1,Accommodation and food services,Total US,00,TS,Total separations,
2019-11-01,2019,M11,NOV,6.3,Accommodation and food services,Total US,00,HI,Hires,
2019-11-01,2019,M11,NOV,5.6,Accommodation and food services,Total US,00,JO,Job openings,
2019-11-01,2019,M11,NOV,1.5,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-11-01,2019,M11,NOV,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2019-11-01,2019,M11,NOV,4.6,Accommodation and food services,Total US,00,QU,Quits,
2019-11-01,2019,M11,NOV,6.3,Accommodation and food services,Total US,00,TS,Total separations,
2019-12-01,2019,M12,DEC,6.7,Accommodation and food services,Total US,00,HI,Hires,
2019-12-01,2019,M12,DEC,5.2,Accommodation and food services,Total US,00,JO,Job openings,
2019-12-01,2019,M12,DEC,1.6,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-12-01,2019,M12,DEC,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2019-12-01,2019,M12,DEC,4.8,Accommodation and food services,Total US,00,QU,Quits,
2019-12-01,2019,M12,DEC,6.6,Accommodation and food services,Total US,00,TS,Total separations,
2020-01-01,2020,M01,JAN,6.5,Accommodation and food services,Total US,00,HI,Hires,
2020-01-01,2020,M01,JAN,5.1,Accommodation and food services,Total US,00,JO,Job openings,
2020-01-01,2020,M01,JAN,1.4,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-01-01,2020,M01,JAN,0.3,Accommodation and food services,Total US,00,OS,Other separations,
2020-01-01,2020,M01,JAN,4.6,Accommodation and food services,Total US,00,QU,Quits,
2020-01-01,2020,M01,JAN,6.3,Accommodation and food services,Total US,00,TS,Total separations,
2020-02-01,2020,M02,FEB,6.5,Accommodation and food services,Total US,00,HI,Hires,
2020-02-01,2020,M02,FEB,5.3,Accommodation and food services,Total US,00,JO,Job openings,
2020-02-01,2020,M02,FEB,1.7,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-02-01,2020,M02,FEB,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2020-02-01,2020,M02,FEB,4.2,Accommodation and food services,Total US,00,QU,Quits,
2020-02-01,2020,M02,FEB,6.1,Accommodation and food services,Total US,00,TS,Total separations,
2020-03-01,2020,M03,MAR,4.1,Accommodation and food services,Total US,00,HI,Hires,
2020-03-01,2020,M03,MAR,3.6,Accommodation and food services,Total US,00,JO,Job openings,
2020-03-01,2020,M03,MAR,33.2,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-03-01,2020,M03,MAR,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2020-03-01,2020,M03,MAR,3.4,Accommodation and food services,Total US,00,QU,Quits,
2020-03-01,2020,M03,MAR,36.8,Accommodation and food services,Total US,00,TS,Total separations,
2020-04-01,2020,M04,APR,5.2,Accommodation and food services,Total US,00,HI,Hires,
2020-04-01,2020,M04,APR,3.8,Accommodation and food services,Total US,00,JO,Job openings,
2020-04-01,2020,M04,APR,25.3,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-04-01,2020,M04,APR,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-04-01,2020,M04,APR,3.8,Accommodation and food services,Total US,00,QU,Quits,
2020-04-01,2020,M04,APR,29.4,Accommodation and food services,Total US,00,TS,Total separations,
2020-05-01,2020,M05,MAY,20.3,Accommodation and food services,Total US,00,HI,Hires,
2020-05-01,2020,M05,MAY,6.6,Accommodation and food services,Total US,00,JO,Job openings,
2020-05-01,2020,M05,MAY,1.8,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-05-01,2020,M05,MAY,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2020-05-01,2020,M05,MAY,3.7,Accommodation and food services,Total US,00,QU,Quits,
2020-05-01,2020,M05,MAY,5.6,Accommodation and food services,Total US,00,TS,Total separations,
2020-06-01,2020,M06,JUN,18.3,Accommodation and food services,Total US,00,HI,Hires,
2020-06-01,2020,M06,JUN,7,Accommodation and food services,Total US,00,JO,Job openings,
2020-06-01,2020,M06,JUN,2.3,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-06-01,2020,M06,JUN,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-06-01,2020,M06,JUN,3.9,Accommodation and food services,Total US,00,QU,Quits,
2020-06-01,2020,M06,JUN,6.3,Accommodation and food services,Total US,00,TS,Total separations,
2020-07-01,2020,M07,JUL,10.4,Accommodation and food services,Total US,00,HI,Hires,
2020-07-01,2020,M07,JUL,6.4,Accommodation and food services,Total US,00,JO,Job openings,
2020-07-01,2020,M07,JUL,1.9,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-07-01,2020,M07,JUL,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-07-01,2020,M07,JUL,4.3,Accommodation and food services,Total US,00,QU,Quits,
2020-07-01,2020,M07,JUL,6.4,Accommodation and food services,Total US,00,TS,Total separations,
2020-08-01,2020,M08,AUG,8,Accommodation and food services,Total US,00,HI,Hires,
2020-08-01,2020,M08,AUG,6.1,Accommodation and food services,Total US,00,JO,Job openings,
2020-08-01,2020,M08,AUG,1.4,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-08-01,2020,M08,AUG,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-08-01,2020,M08,AUG,4.3,Accommodation and food services,Total US,00,QU,Quits,
2020-08-01,2020,M08,AUG,5.9,Accommodation and food services,Total US,00,TS,Total separations,
2020-09-01,2020,M09,SEP,8.4,Accommodation and food services,Total US,00,HI,Hires,
2020-09-01,2020,M09,SEP,6.1,Accommodation and food services,Total US,00,JO,Job openings,
2020-09-01,2020,M09,SEP,1.4,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-09-01,2020,M09,SEP,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-09-01,2020,M09,SEP,4.7,Accommodation and food services,Total US,00,QU,Quits,
2020-09-01,2020,M09,SEP,6.4,Accommodation and food services,Total US,00,TS,Total separations,
2020-10-01,2020,M10,OCT,8.5,Accommodation and food services,Total US,00,HI,Hires,
2020-10-01,2020,M10,OCT,6.3,Accommodation and food services,Total US,00,JO,Job openings,
2020-10-01,2020,M10,OCT,1.2,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-10-01,2020,M10,OCT,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-10-01,2020,M10,OCT,4.6,Accommodation and food services,Total US,00,QU,Quits,
2020-10-01,2020,M10,OCT,6,Accommodation and food services,Total US,00,TS,Total separations,
2020-11-01,2020,M11,NOV,8.1,Accommodation and food services,Total US,00,HI,Hires,
2020-11-01,2020,M11,NOV,6,Accommodation and food services,Total US,00,JO,Job openings,
2020-11-01,2020,M11,NOV,3.7,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-11-01,2020,M11,NOV,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-11-01,2020,M11,NOV,4.8,Accommodation and food services,Total US,00,QU,Quits,
2020-11-01,2020,M11,NOV,8.7,Accommodation and food services,Total US,00,TS,Total separations,
2020-12-01,2020,M12,DEC,6.1,Accommodation and food services,Total US,00,HI,Hires,
2020-12-01,2020,M12,DEC,5.7,Accommodation and food services,Total US,00,JO,Job openings,
2020-12-01,2020,M12,DEC,3.6,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2020-12-01,2020,M12,DEC,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2020-12-01,2020,M12,DEC,5.4,Accommodation and food services,Total US,00,QU,Quits,
2020-12-01,2020,M12,DEC,9.2,Accommodation and food services,Total US,00,TS,Total separations,
2021-01-01,2021,M01,JAN,7.1,Accommodation and food services,Total US,00,HI,Hires,
2021-01-01,2021,M01,JAN,5.4,Accommodation and food services,Total US,00,JO,Job openings,
2021-01-01,2021,M01,JAN,1.7,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-01-01,2021,M01,JAN,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-01-01,2021,M01,JAN,5.1,Accommodation and food services,Total US,00,QU,Quits,
2021-01-01,2021,M01,JAN,7,Accommodation and food services,Total US,00,TS,Total separations,
2021-02-01,2021,M02,FEB,9,Accommodation and food services,Total US,00,HI,Hires,
2021-02-01,2021,M02,FEB,6.4,Accommodation and food services,Total US,00,JO,Job openings,
2021-02-01,2021,M02,FEB,1.5,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-02-01,2021,M02,FEB,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-02-01,2021,M02,FEB,4.9,Accommodation and food services,Total US,00,QU,Quits,
2021-02-01,2021,M02,FEB,6.6,Accommodation and food services,Total US,00,TS,Total separations,
2021-03-01,2021,M03,MAR,8.5,Accommodation and food services,Total US,00,HI,Hires,
2021-03-01,2021,M03,MAR,7.7,Accommodation and food services,Total US,00,JO,Job openings,
2021-03-01,2021,M03,MAR,1.5,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-03-01,2021,M03,MAR,0.3,Accommodation and food services,Total US,00,OS,Other separations,
2021-03-01,2021,M03,MAR,5.4,Accommodation and food services,Total US,00,QU,Quits,
2021-03-01,2021,M03,MAR,7.2,Accommodation and food services,Total US,00,TS,Total separations,
2021-04-01,2021,M04,APR,9.4,Accommodation and food services,Total US,00,HI,Hires,
2021-04-01,2021,M04,APR,8.7,Accommodation and food services,Total US,00,JO,Job openings,
2021-04-01,2021,M04,APR,1.5,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-04-01,2021,M04,APR,0.3,Accommodation and food services,Total US,00,OS,Other separations,
2021-04-01,2021,M04,APR,5.7,Accommodation and food services,Total US,00,QU,Quits,
2021-04-01,2021,M04,APR,7.5,Accommodation and food services,Total US,00,TS,Total separations,
2021-05-01,2021,M05,MAY,9.3,Accommodation and food services,Total US,00,HI,Hires,
2021-05-01,2021,M05,MAY,9.6,Accommodation and food services,Total US,00,JO,Job openings,
2021-05-01,2021,M05,MAY,1.2,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-05-01,2021,M05,MAY,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-05-01,2021,M05,MAY,5.7,Accommodation and food services,Total US,00,QU,Quits,
2021-05-01,2021,M05,MAY,7,Accommodation and food services,Total US,00,TS,Total separations,
2021-06-01,2021,M06,JUN,9.5,Accommodation and food services,Total US,00,HI,Hires,
2021-06-01,2021,M06,JUN,10.3,Accommodation and food services,Total US,00,JO,Job openings,
2021-06-01,2021,M06,JUN,0.8,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-06-01,2021,M06,JUN,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-06-01,2021,M06,JUN,5.5,Accommodation and food services,Total US,00,QU,Quits,
2021-06-01,2021,M06,JUN,6.5,Accommodation and food services,Total US,00,TS,Total separations,
2021-07-01,2021,M07,JUL,9.6,Accommodation and food services,Total US,00,HI,Hires,
2021-07-01,2021,M07,JUL,11.3,Accommodation and food services,Total US,00,JO,Job openings,
2021-07-01,2021,M07,JUL,0.9,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-07-01,2021,M07,JUL,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-07-01,2021,M07,JUL,5.6,Accommodation and food services,Total US,00,QU,Quits,
2021-07-01,2021,M07,JUL,6.7,Accommodation and food services,Total US,00,TS,Total separations,
2021-08-01,2021,M08,AUG,8.2,Accommodation and food services,Total US,00,HI,Hires,
2021-08-01,2021,M08,AUG,10,Accommodation and food services,Total US,00,JO,Job openings,
2021-08-01,2021,M08,AUG,1.2,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-08-01,2021,M08,AUG,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-08-01,2021,M08,AUG,6.6,Accommodation and food services,Total US,00,QU,Quits,
2021-08-01,2021,M08,AUG,8.1,Accommodation and food services,Total US,00,TS,Total separations,
2021-09-01,2021,M09,SEP,8.1,Accommodation and food services,Total US,00,HI,Hires,
2021-09-01,2021,M09,SEP,9.5,Accommodation and food services,Total US,00,JO,Job openings,
2021-09-01,2021,M09,SEP,1.1,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2021-09-01,2021,M09,SEP,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2021-09-01,2021,M09,SEP,6.6,Accommodation and food services,Total US,00,QU,Quits,
2021-09-01,2021,M09,SEP,7.9,Accommodation and food services,Total US,00,TS,Total separations,
2019-01-01,2019,M01,JAN,7.2,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-01-01,2019,M01,JAN,4.2,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-01-01,2019,M01,JAN,3.2,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-01-01,2019,M01,JAN,0.2,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-01-01,2019,M01,JAN,3,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-01-01,2019,M01,JAN,6.4,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-02-01,2019,M02,FEB,7.2,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-02-01,2019,M02,FEB,4.3,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-02-01,2019,M02,FEB,3.5,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-02-01,2019,M02,FEB,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-02-01,2019,M02,FEB,3.1,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-02-01,2019,M02,FEB,6.7,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-03-01,2019,M03,MAR,6.8,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-03-01,2019,M03,MAR,4.2,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-03-01,2019,M03,MAR,2.7,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-03-01,2019,M03,MAR,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-03-01,2019,M03,MAR,3.2,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-03-01,2019,M03,MAR,6.1,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-04-01,2019,M04,APR,6.8,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-04-01,2019,M04,APR,4.6,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-04-01,2019,M04,APR,3.2,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-04-01,2019,M04,APR,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-04-01,2019,M04,APR,3.2,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-04-01,2019,M04,APR,6.5,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-05-01,2019,M05,MAY,6.8,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-05-01,2019,M05,MAY,4.8,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-05-01,2019,M05,MAY,3.8,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-05-01,2019,M05,MAY,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-05-01,2019,M05,MAY,3.1,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-05-01,2019,M05,MAY,7,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-06-01,2019,M06,JUN,5.8,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-06-01,2019,M06,JUN,4.2,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-06-01,2019,M06,JUN,2.9,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-06-01,2019,M06,JUN,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-06-01,2019,M06,JUN,3.2,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-06-01,2019,M06,JUN,6.2,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-07-01,2019,M07,JUL,6.6,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-07-01,2019,M07,JUL,4.6,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-07-01,2019,M07,JUL,3,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-07-01,2019,M07,JUL,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-07-01,2019,M07,JUL,3.2,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-07-01,2019,M07,JUL,6.4,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-08-01,2019,M08,AUG,7,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-08-01,2019,M08,AUG,4.9,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-08-01,2019,M08,AUG,2.9,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-08-01,2019,M08,AUG,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-08-01,2019,M08,AUG,3.8,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-08-01,2019,M08,AUG,6.8,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-09-01,2019,M09,SEP,7.2,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-09-01,2019,M09,SEP,5.7,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-09-01,2019,M09,SEP,3,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-09-01,2019,M09,SEP,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-09-01,2019,M09,SEP,3.3,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-09-01,2019,M09,SEP,6.4,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-10-01,2019,M10,OCT,6.9,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-10-01,2019,M10,OCT,5.4,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-10-01,2019,M10,OCT,3.1,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-10-01,2019,M10,OCT,0.2,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-10-01,2019,M10,OCT,3.3,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-10-01,2019,M10,OCT,6.6,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-11-01,2019,M11,NOV,7.6,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-11-01,2019,M11,NOV,4.5,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-11-01,2019,M11,NOV,3.5,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-11-01,2019,M11,NOV,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-11-01,2019,M11,NOV,3.2,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-11-01,2019,M11,NOV,6.9,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2019-12-01,2019,M12,DEC,7.6,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2019-12-01,2019,M12,DEC,5.3,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2019-12-01,2019,M12,DEC,4.5,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2019-12-01,2019,M12,DEC,0.2,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2019-12-01,2019,M12,DEC,2.8,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2019-12-01,2019,M12,DEC,7.5,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2020-01-01,2020,M01,JAN,7.1,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2020-01-01,2020,M01,JAN,5.9,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2020-01-01,2020,M01,JAN,3.6,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2020-01-01,2020,M01,JAN,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2020-01-01,2020,M01,JAN,3,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2020-01-01,2020,M01,JAN,6.8,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2020-02-01,2020,M02,FEB,6.8,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2020-02-01,2020,M02,FEB,5.2,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2020-02-01,2020,M02,FEB,3.2,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2020-02-01,2020,M02,FEB,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2020-02-01,2020,M02,FEB,3.1,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2020-02-01,2020,M02,FEB,6.4,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2020-03-01,2020,M03,MAR,4.9,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2020-03-01,2020,M03,MAR,5.1,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2020-03-01,2020,M03,MAR,25.7,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2020-03-01,2020,M03,MAR,0.1,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2020-03-01,2020,M03,MAR,1.9,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2020-03-01,2020,M03,MAR,27.7,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
2020-04-01,2020,M04,APR,2.7,"Arts, entertainment, and recreation",Total US,00,HI,Hires,
2020-04-01,2020,M04,APR,4.1,"Arts, entertainment, and recreation",Total US,00,JO,Job openings,
2020-04-01,2020,M04,APR,33.1,"Arts, entertainment, and recreation",Total US,00,LD,Layoffs and discharges,
2020-04-01,2020,M04,APR,0.2,"Arts, entertainment, and recreation",Total US,00,OS,Other separations,
2020-04-01,2020,M04,APR,2.4,"Arts, entertainment, and recreation",Total US,00,QU,Quits,
2020-04-01,2020,M04,APR,35.7,"Arts, entertainment, and recreation",Total US,00,TS,Total separations,
