year,period,month,rate,ratelevel_code,industry_text,state_text,state_code,dataelement_code,dataelement_text
2021,M01,1,5.1,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.2,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.2,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.3,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.0,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.2,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.2,R,Total private,Total US,0,QU,Quits
2019,M01,1,3.4,R,Total private,Total US,0,TS,Total separations
2020,M01,1,3.6,R,Total private,Total US,0,TS,Total separations
2021,M01,1,3.8,R,Total private,Total US,0,TS,Total separations
2019,M01,1,1.8,R,Total private,Total US,0,HI,Hires
2020,M01,1,1.8,R,Total private,Total US,0,HI,Hires
2021,M01,1,1.9,R,Total private,Total US,0,HI,Hires
2019,M01,1,4.3,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.4,R,Total private,Total US,0,JO,Job openings
2021,M01,1,4.5,R,Total private,Total US,0,JO,Job openings
2019,M01,1,0.6,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,0.5,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,0.6,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,1.0,R,Total private,Total US,0,QU,Quits
2020,M01,1,1.1,R,Total private,Total US,0,QU,Quits
2021,M01,1,0.9,R,Total private,Total US,0,QU,Quits
2019,M01,1,1.8,R,Total private,Total US,0,TS,Total separations
2020,M01,1,1.9,R,Total private,Total US,0,TS,Total separations
2021,M01,1,1.7,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.1,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.2,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.1,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.1,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.7,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.1,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.6,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.7,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.8,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.5,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.6,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.7,R,Total private,Total US,0,TS,Total separations
2019,M01,1,5.0,R,Total private,Total US,0,HI,Hires
2020,M01,1,5.6,R,Total private,Total US,0,HI,Hires
2021,M01,1,5.0,R,Total private,Total US,0,HI,Hires
2019,M01,1,4.9,R,Total private,Total US,0,JO,Job openings
2020,M01,1,5.8,R,Total private,Total US,0,JO,Job openings
2021,M01,1,6.4,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.5,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.5,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.9,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.4,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.6,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2019,M01,1,3.0,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.8,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.9,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.9,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.8,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.3,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.2,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.1,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.1,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.4,R,Total private,Total US,0,JO,Job openings
2021,M01,1,4.6,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.6,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.7,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.4,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.8,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.7,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.8,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.7,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.6,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.5,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.1,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.4,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.0,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.1,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.4,R,Total private,Total US,0,JO,Job openings
2021,M01,1,4.9,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.5,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.7,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.7,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.9,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.9,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.3,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.8,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.8,R,Total private,Total US,0,TS,Total separations
2019,M01,1,3.9,R,Total private,Total US,0,HI,Hires
2020,M01,1,3.5,R,Total private,Total US,0,HI,Hires
2021,M01,1,3.9,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.0,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.7,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.1,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.9,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,2.0,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,2.2,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.4,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.3,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.7,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.6,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.8,R,Total private,Total US,0,TS,Total separations
2019,M01,1,3.0,R,Total private,Total US,0,HI,Hires
2020,M01,1,3.3,R,Total private,Total US,0,HI,Hires
2021,M01,1,3.3,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.7,R,Total private,Total US,0,JO,Job openings
2020,M01,1,5.0,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.2,R,Total private,Total US,0,JO,Job openings
2019,M01,1,2.2,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,2.1,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,2.4,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2019,M01,1,1.9,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.1,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.2,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.4,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.5,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.9,R,Total private,Total US,0,TS,Total separations
2019,M01,1,2.0,R,Total private,Total US,0,HI,Hires
2020,M01,1,2.0,R,Total private,Total US,0,HI,Hires
2021,M01,1,2.3,R,Total private,Total US,0,HI,Hires
2019,M01,1,4.2,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.3,R,Total private,Total US,0,JO,Job openings
2021,M01,1,4.4,R,Total private,Total US,0,JO,Job openings
2019,M01,1,0.7,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,0.6,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,0.7,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.4,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total private,Total US,0,OS,Other separations
2019,M01,1,1.1,R,Total private,Total US,0,QU,Quits
2020,M01,1,1.1,R,Total private,Total US,0,QU,Quits
2021,M01,1,0.9,R,Total private,Total US,0,QU,Quits
2019,M01,1,2.0,R,Total private,Total US,0,TS,Total separations
2020,M01,1,2.1,R,Total private,Total US,0,TS,Total separations
2021,M01,1,1.9,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.4,R,Mining and logging,Total US,0,HI,Hires
2020,M01,1,2.3,R,Mining and logging,Total US,0,HI,Hires
2021,M01,1,2.9,R,Mining and logging,Total US,0,HI,Hires
2019,M01,1,4.0,R,Mining and logging,Total US,0,JO,Job openings
2020,M01,1,2.6,R,Mining and logging,Total US,0,JO,Job openings
2021,M01,1,3.9,R,Mining and logging,Total US,0,JO,Job openings
2019,M01,1,1.8,R,Mining and logging,Total US,0,LD,Layoffs and discharges
2020,M01,1,0.9,R,Mining and logging,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.2,R,Mining and logging,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.1,R,Mining and logging,Total US,0,OS,Other separations
2020,M01,1,0.3,R,Mining and logging,Total US,0,OS,Other separations
2021,M01,1,0.4,R,Mining and logging,Total US,0,OS,Other separations
2019,M01,1,2.3,R,Mining and logging,Total US,0,QU,Quits
2020,M01,1,2.0,R,Mining and logging,Total US,0,QU,Quits
2021,M01,1,1.3,R,Mining and logging,Total US,0,QU,Quits
2019,M01,1,4.1,R,Mining and logging,Total US,0,TS,Total separations
2020,M01,1,3.2,R,Mining and logging,Total US,0,TS,Total separations
2021,M01,1,2.8,R,Mining and logging,Total US,0,TS,Total separations
2019,M01,1,5.0,R,Mining and logging,Total US,0,HI,Hires
2020,M01,1,2.9,R,Mining and logging,Total US,0,HI,Hires
2021,M01,1,3.3,R,Mining and logging,Total US,0,HI,Hires
2019,M01,1,4.0,R,Mining and logging,Total US,0,JO,Job openings
2020,M01,1,2.5,R,Mining and logging,Total US,0,JO,Job openings
2021,M01,1,3.8,R,Mining and logging,Total US,0,JO,Job openings
2019,M01,1,2.6,R,Mining and logging,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.8,R,Mining and logging,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.9,R,Mining and logging,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Mining and logging,Total US,0,OS,Other separations
2020,M01,1,0.4,R,Mining and logging,Total US,0,OS,Other separations
2021,M01,1,0.6,R,Mining and logging,Total US,0,OS,Other separations
2019,M01,1,2.3,R,Mining and logging,Total US,0,QU,Quits
2020,M01,1,2.1,R,Mining and logging,Total US,0,QU,Quits
2021,M01,1,1.3,R,Mining and logging,Total US,0,QU,Quits
2019,M01,1,5.1,R,Mining and logging,Total US,0,TS,Total separations
2020,M01,1,4.3,R,Mining and logging,Total US,0,TS,Total separations
2021,M01,1,3.8,R,Mining and logging,Total US,0,TS,Total separations
2019,M01,1,5.7,R,Construction,Total US,0,HI,Hires
2020,M01,1,5.5,R,Construction,Total US,0,HI,Hires
2021,M01,1,4.7,R,Construction,Total US,0,HI,Hires
2019,M01,1,3.9,R,Construction,Total US,0,JO,Job openings
2020,M01,1,3.7,R,Construction,Total US,0,JO,Job openings
2021,M01,1,3.9,R,Construction,Total US,0,JO,Job openings
2019,M01,1,2.5,R,Construction,Total US,0,LD,Layoffs and discharges
2020,M01,1,2.4,R,Construction,Total US,0,LD,Layoffs and discharges
2021,M01,1,2.5,R,Construction,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Construction,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Construction,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Construction,Total US,0,OS,Other separations
2019,M01,1,2.6,R,Construction,Total US,0,QU,Quits
2020,M01,1,2.1,R,Construction,Total US,0,QU,Quits
2021,M01,1,1.9,R,Construction,Total US,0,QU,Quits
2019,M01,1,5.4,R,Construction,Total US,0,TS,Total separations
2020,M01,1,4.8,R,Construction,Total US,0,TS,Total separations
2021,M01,1,4.6,R,Construction,Total US,0,TS,Total separations
2019,M01,1,5.6,R,Construction,Total US,0,HI,Hires
2020,M01,1,5.3,R,Construction,Total US,0,HI,Hires
2021,M01,1,4.4,R,Construction,Total US,0,HI,Hires
2019,M01,1,4.0,R,Construction,Total US,0,JO,Job openings
2020,M01,1,3.8,R,Construction,Total US,0,JO,Job openings
2021,M01,1,4.1,R,Construction,Total US,0,JO,Job openings
2019,M01,1,3.4,R,Construction,Total US,0,LD,Layoffs and discharges
2020,M01,1,3.2,R,Construction,Total US,0,LD,Layoffs and discharges
2021,M01,1,3.3,R,Construction,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Construction,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Construction,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Construction,Total US,0,OS,Other separations
2019,M01,1,2.5,R,Construction,Total US,0,QU,Quits
2020,M01,1,2.1,R,Construction,Total US,0,QU,Quits
2021,M01,1,1.9,R,Construction,Total US,0,QU,Quits
2019,M01,1,6.2,R,Construction,Total US,0,TS,Total separations
2020,M01,1,5.5,R,Construction,Total US,0,TS,Total separations
2021,M01,1,5.4,R,Construction,Total US,0,TS,Total separations
2019,M01,1,2.7,R,Manufacturing,Total US,0,HI,Hires
2020,M01,1,2.5,R,Manufacturing,Total US,0,HI,Hires
2021,M01,1,2.9,R,Manufacturing,Total US,0,HI,Hires
2019,M01,1,3.3,R,Manufacturing,Total US,0,JO,Job openings
2020,M01,1,3.1,R,Manufacturing,Total US,0,JO,Job openings
2021,M01,1,4.2,R,Manufacturing,Total US,0,JO,Job openings
2019,M01,1,0.7,R,Manufacturing,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.0,R,Manufacturing,Total US,0,LD,Layoffs and discharges
2021,M01,1,0.7,R,Manufacturing,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.1,R,Manufacturing,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Manufacturing,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Manufacturing,Total US,0,OS,Other separations
2019,M01,1,1.7,R,Manufacturing,Total US,0,QU,Quits
2020,M01,1,1.5,R,Manufacturing,Total US,0,QU,Quits
2021,M01,1,2.1,R,Manufacturing,Total US,0,QU,Quits
2019,M01,1,2.5,R,Manufacturing,Total US,0,TS,Total separations
2020,M01,1,2.7,R,Manufacturing,Total US,0,TS,Total separations
2021,M01,1,3.0,R,Manufacturing,Total US,0,TS,Total separations
2019,M01,1,2.9,R,Manufacturing,Total US,0,HI,Hires
2020,M01,1,2.7,R,Manufacturing,Total US,0,HI,Hires
2021,M01,1,3.0,R,Manufacturing,Total US,0,HI,Hires
2019,M01,1,3.3,R,Manufacturing,Total US,0,JO,Job openings
2020,M01,1,3.1,R,Manufacturing,Total US,0,JO,Job openings
2021,M01,1,4.2,R,Manufacturing,Total US,0,JO,Job openings
2019,M01,1,0.8,R,Manufacturing,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.1,R,Manufacturing,Total US,0,LD,Layoffs and discharges
2021,M01,1,0.8,R,Manufacturing,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Manufacturing,Total US,0,OS,Other separations
2020,M01,1,0.3,R,Manufacturing,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Manufacturing,Total US,0,OS,Other separations
2019,M01,1,1.6,R,Manufacturing,Total US,0,QU,Quits
2020,M01,1,1.4,R,Manufacturing,Total US,0,QU,Quits
2021,M01,1,2.0,R,Manufacturing,Total US,0,QU,Quits
2019,M01,1,2.6,R,Manufacturing,Total US,0,TS,Total separations
2020,M01,1,2.7,R,Manufacturing,Total US,0,TS,Total separations
2021,M01,1,3.0,R,Manufacturing,Total US,0,TS,Total separations
2019,M01,1,2.3,R,Durable goods manufacturing,Total US,0,HI,Hires
2020,M01,1,2.3,R,Durable goods manufacturing,Total US,0,HI,Hires
2021,M01,1,2.5,R,Durable goods manufacturing,Total US,0,HI,Hires
2019,M01,1,3.4,R,Durable goods manufacturing,Total US,0,JO,Job openings
2020,M01,1,3.0,R,Durable goods manufacturing,Total US,0,JO,Job openings
2021,M01,1,3.9,R,Durable goods manufacturing,Total US,0,JO,Job openings
2019,M01,1,0.6,R,Durable goods manufacturing,Total US,0,LD,Layoffs and discharges
2020,M01,1,0.9,R,Durable goods manufacturing,Total US,0,LD,Layoffs and discharges
2021,M01,1,0.6,R,Durable goods manufacturing,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.1,R,Durable goods manufacturing,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Durable goods manufacturing,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Durable goods manufacturing,Total US,0,OS,Other separations
2019,M01,1,1.4,R,Durable goods manufacturing,Total US,0,QU,Quits
