series_id,period_date,year,period,period_abbr,period_name,value,ratelevel_code,ratelevel_text,footnote_codes,seasonal,sizeclass_code,area_code,industry_code,industry_text,industry_sort,industry_display_level,state_code,state_text,state_sort,state_display_level,jobs,hires,layoffs,quits,separations,score,newscore,3score,area_rank,pop_rank,,,,,,
JTS000000000000000QUR         ,11/1/2019,2019,M11,NOV,November,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.4,3.8,1.2,2.3,3.7,2.4,4.4,5,,,,,,,,
JTS000000000000000QUR         ,12/1/2019,2019,M12,DEC,December,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.2,3.9,1.3,2.3,3.8,2,3.9,4.7,,,,,,,,
JTS000000000000000QUR         ,1/1/2020,2020,M01,JAN,January,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,3.9,1.2,2.3,3.8,2.4,4.4,5.1,,,,,,,,
JTS000000000000000QUR         ,2/1/2020,2020,M02,FEB,February,2.2,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.4,3.9,1.3,2.2,3.7,2.1,4,4.9,,,,,,,,
JTS000000000000000QUR         ,3/1/2020,2020,M03,MAR,March,1.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,3.7,3.4,8.6,1.9,10.8,0.3,2.4,3.1,,,,,,,,
JTS000000000000000QUR         ,4/1/2020,2020,M04,APR,April,1.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,3.4,3,7.2,1.6,9.1,0.3,2.2,2.8,,,,,,,,
JTS000000000000000QUR         ,5/1/2020,2020,M05,MAY,May,1.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,3.9,6.2,1.6,1.7,3.5,-0.4,-0.8,4,,,,,,,,
JTS000000000000000QUR         ,6/1/2020,2020,M06,JUN,June,1.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.2,5.6,1.6,1.9,3.8,0.3,0.7,4.4,,,,,,,,
JTS000000000000000QUR         ,7/1/2020,2020,M07,JUL,July,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.6,4.5,1.3,2.3,3.9,1.8,3.6,5.2,,,,,,,,
JTS000000000000000QUR         ,8/1/2020,2020,M08,AUG,August,2.1,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.4,4.6,1.1,2.1,3.5,1.7,2.9,5,,,,,,,,
JTS000000000000000QUR         ,9/1/2020,2020,M09,SEP,September,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,4.2,1.1,2.3,3.7,2.4,4,5.2,,,,,,,,
JTS000000000000000QUR         ,10/1/2020,2020,M10,OCT,October,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.6,4.2,1.2,2.4,3.8,2.3,4.3,5.2,,,,,,,,
JTS000000000000000QUR         ,11/1/2020,2020,M11,NOV,November,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,4.2,1.5,2.3,4,1.7,3.8,4.9,,,,,,,,
JTS000000000000000QUR         ,12/1/2020,2020,M12,DEC,December,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,3.8,1.3,2.4,3.9,2.4,4.7,5.1,,,,,,,,
JTS000000000000000QUR         ,1/1/2021,2021,M01,JAN,January,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.7,3.8,1.2,2.3,3.7,2.7,4.8,5.3,,,,,,,,
JTS000000000000000QUR         ,2/1/2021,2021,M02,FEB,February,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,5,4,1.2,2.4,3.8,2.8,5.2,5.7,,,,,,,,
JTS000000000000000QUR         ,3/1/2021,2021,M03,MAR,March,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,5.4,4.2,1.1,2.5,3.8,3.4,5.7,6.3,,,,,,,,
JTS000000000000000QUR         ,4/1/2021,2021,M04,APR,April,2.8,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,6,4.2,1,2.8,4,4.6,7.4,7.2,,,,,,,,
JTS000000000000000QUR         ,5/1/2021,2021,M05,MAY,May,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,6.1,4.2,0.9,2.5,3.7,4.9,7.1,7.4,,,,,,,,
JTS000000000000000QUR         ,6/1/2021,2021,M06,JUN,June,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,6.5,4.7,0.9,2.7,3.8,5,7.3,7.9,,,,,,,,
JTS000000000000000QUR         ,7/1/2021,2021,M07,JUL,July,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,7,4.6,1,2.7,3.9,5.1,8.1,8.4,,,,,,,,
JTS000000000000000QUR         ,8/1/2021,2021,M08,AUG,August,2.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,6.7,4.4,0.9,2.9,4.1,5.8,8.5,8.2,,,,,,,,
JTS000000000000000QUR         ,9/1/2021,2021,M09,SEP,September,3,R,Rate,P,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,6.6,4.4,0.9,3,4.2,5.8,8.6,8.2,,,,,,,,
JTS000000010000000QUR         ,1/1/2019,2019,M01,JAN,January,2.2,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.4,3.7,1.1,2.2,3.6,2.6,4.4,5.1,30,24,,,,,,
JTS000000010000000QUR         ,2/1/2019,2019,M02,FEB,February,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4,3.9,1.1,2.6,3.9,2.5,4.2,4.7,30,24,,,,,,
JTS000000010000000QUR         ,3/1/2019,2019,M03,MAR,March,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.3,3.8,1,2.4,3.7,2.9,4.6,5.1,30,24,,,,,,
JTS000000010000000QUR         ,4/1/2019,2019,M04,APR,April,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.6,4,1.4,2.4,4.2,2.1,4.5,5.2,30,24,,,,,,
JTS000000010000000QUR         ,5/1/2019,2019,M05,MAY,May,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.5,3.9,1,2.4,3.5,3,4.7,5.3,30,24,,,,,,
JTS000000010000000QUR         ,6/1/2019,2019,M06,JUN,June,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.5,3.9,1.1,2.6,4,2.9,5,5.3,30,24,,,,,,
JTS000000010000000QUR         ,7/1/2019,2019,M07,JUL,July,2.1,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.3,4.5,1,2.1,3.4,1.9,2.9,5,30,24,,,,,,
JTS000000010000000QUR         ,8/1/2019,2019,M08,AUG,August,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.3,3.8,1.2,2.7,4.1,2.7,5,5,30,24,,,,,,
JTS000000010000000QUR         ,9/1/2019,2019,M09,SEP,September,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.6,3.7,1.4,2.5,4.2,2.4,5.1,5.2,30,24,,,,,,
JTS000000010000000QUR         ,10/1/2019,2019,M10,OCT,October,2.2,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.9,3.5,0.8,2.2,3.3,4.5,5.8,5.9,30,24,,,,,,
JTS000000010000000QUR         ,11/1/2019,2019,M11,NOV,November,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.4,3.7,0.8,2.6,3.6,4.1,5.4,5.4,30,24,,,,,,
JTS000000010000000QUR         ,12/1/2019,2019,M12,DEC,December,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,3.9,3.6,1.2,2.5,4.1,2.3,4.3,4.5,30,24,,,,,,
JTS000000010000000QUR         ,1/1/2020,2020,M01,JAN,January,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.5,3.7,0.8,2.6,3.6,4.3,5.6,5.5,30,24,,,,,,
JTS000000010000000QUR         ,2/1/2020,2020,M02,FEB,February,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.5,3.9,0.9,2.4,3.6,3.3,4.8,5.4,30,24,,,,,,
JTS000000010000000QUR         ,3/1/2020,2020,M03,MAR,March,1.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,3.3,3.4,4.4,1.6,6.3,0.3,1.8,2.9,30,24,,,,,,
JTS000000010000000QUR         ,4/1/2020,2020,M04,APR,April,1.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,3.4,2.8,4.7,1.6,6.6,0.5,2.6,3,30,24,,,,,,
JTS000000010000000QUR         ,5/1/2020,2020,M05,MAY,May,1.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.6,4.6,1.4,1.4,3.1,1,1.9,4.8,30,24,,,,,,
JTS000000010000000QUR         ,6/1/2020,2020,M06,JUN,June,2,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4,4.4,1.7,2,3.9,0.9,2.2,4.2,30,24,,,,,,
JTS000000010000000QUR         ,7/1/2020,2020,M07,JUL,July,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5,4.3,0.9,2.5,3.7,3.6,5.1,6,30,24,,,,,,
JTS000000010000000QUR         ,8/1/2020,2020,M08,AUG,August,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5.1,4.5,0.7,2.7,3.7,4.7,5.6,6.4,30,24,,,,,,
JTS000000010000000QUR         ,9/1/2020,2020,M09,SEP,September,3.2,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.9,4.4,0.8,3.2,4.4,4.6,6.3,6.2,30,24,,,,,,
JTS000000010000000QUR         ,10/1/2020,2020,M10,OCT,October,3,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5.1,5.4,0.9,3,4.3,3,4.5,6.3,30,24,,,,,,
JTS000000010000000QUR         ,11/1/2020,2020,M11,NOV,November,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,4.9,4.5,1.1,2.6,3.9,2.7,4.7,5.7,30,24,,,,,,
JTS000000010000000QUR         ,12/1/2020,2020,M12,DEC,December,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5,4,0.9,2.6,3.8,4,5.8,6.1,30,24,,,,,,
JTS000000010000000QUR         ,1/1/2021,2021,M01,JAN,January,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5.2,3.5,1.1,2.5,3.8,3.8,6.5,6,30,24,,,,,,
JTS000000010000000QUR         ,2/1/2021,2021,M02,FEB,February,2.8,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5.5,4.3,1.1,2.8,4.2,3.6,6.3,6.5,30,24,,,,,,
JTS000000010000000QUR         ,3/1/2021,2021,M03,MAR,March,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5.2,4.5,0.9,2.7,3.9,3.8,5.5,6.3,30,24,,,,,,
JTS000000010000000QUR         ,4/1/2021,2021,M04,APR,April,3,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,5.9,4.2,1,3,4.4,4.7,7.7,7.2,30,24,,,,,,
JTS000000010000000QUR         ,5/1/2021,2021,M05,MAY,May,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,6.4,4.6,0.8,2.5,3.6,5.4,7,7.9,30,24,,,,,,
JTS000000010000000QUR         ,6/1/2021,2021,M06,JUN,June,3,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,6.3,4.7,1,3,4.2,4.6,7.4,7.6,30,24,,,,,,
JTS000000010000000QUR         ,7/1/2021,2021,M07,JUL,July,2.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,6.5,4.7,1.4,2.9,4.5,3.4,7.2,7.4,30,24,,,,,,
JTS000000010000000QUR         ,8/1/2021,2021,M08,AUG,August,3.1,R,Rate,P,S,0,0,0,Total nonfarm,1,0,1,Alabama,6,2,6.8,4.9,0.8,3.1,4.3,6.3,8.4,8.6,30,24,,,,,,
JTS000000020000000QUR         ,1/1/2019,2019,M01,JAN,January,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.3,6.1,1.8,3.9,6.1,2.3,6.3,7.3,1,48,,,,,,
JTS000000020000000QUR         ,2/1/2019,2019,M02,FEB,February,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.8,6.4,1.8,3.9,6.1,2.4,6.6,7.9,1,48,,,,,,
JTS000000020000000QUR         ,3/1/2019,2019,M03,MAR,March,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.8,6.1,2.1,3.9,6.1,2.2,6.8,7.6,1,48,,,,,,
JTS000000020000000QUR         ,4/1/2019,2019,M04,APR,April,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6.7,1.8,3.9,6.1,2.1,5.7,7.5,1,48,,,,,,
JTS000000020000000QUR         ,5/1/2019,2019,M05,MAY,May,3.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,5.5,1.8,3.6,5.8,2.6,7,7.4,1,48,,,,,,
JTS000000020000000QUR         ,6/1/2019,2019,M06,JUN,June,3.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,5.7,1.8,3.6,6,2.4,6.8,7.5,1,48,,,,,,
JTS000000020000000QUR         ,7/1/2019,2019,M07,JUL,July,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6,2.1,3.9,6.3,2.1,6.6,7.3,1,48,,,,,,
JTS000000020000000QUR         ,8/1/2019,2019,M08,AUG,August,3.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,5.8,1.8,3.6,6.1,2.4,6.6,7.5,1,48,,,,,,
JTS000000020000000QUR         ,9/1/2019,2019,M09,SEP,September,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6.3,2.4,3.9,6.6,1.7,6,7.2,1,48,,,,,,
JTS000000020000000QUR         ,10/1/2019,2019,M10,OCT,October,4.2,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6.4,2.4,4.2,7,1.8,6.4,7.3,1,48,,,,,,
JTS000000020000000QUR         ,11/1/2019,2019,M11,NOV,November,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.3,5.8,2.1,3.9,6.7,2.1,6.7,7.2,1,48,,,,,,
JTS000000020000000QUR         ,12/1/2019,2019,M12,DEC,December,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6.1,2.1,3.9,6.4,2,6.5,7.3,1,48,,,,,,
JTS000000020000000QUR         ,1/1/2020,2020,M01,JAN,January,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6.1,2.1,3.9,6.4,2,6.5,7.3,1,48,,,,,,
JTS000000020000000QUR         ,2/1/2020,2020,M02,FEB,February,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,6.4,2.1,3.9,6.4,1.9,6,7.3,1,48,,,,,,
JTS000000020000000QUR         ,3/1/2020,2020,M03,MAR,March,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,5.7,5.8,8.5,2.7,11.6,0.3,3,4.9,1,48,,,,,,
JTS000000020000000QUR         ,4/1/2020,2020,M04,APR,April,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,4.7,4.2,8.4,2.5,11.6,0.4,3.5,4.1,1,48,,,,,,
JTS000000020000000QUR         ,5/1/2020,2020,M05,MAY,May,1.8,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,1.7,6.7,2.5,1.8,4.6,-1.3,-4.1,1.7,1,48,,,,,,
JTS000000020000000QUR         ,6/1/2020,2020,M06,JUN,June,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,3.1,3.2,2.5,2.5,5.3,1,3.3,3.2,1,48,,,,,,
JTS000000020000000QUR         ,7/1/2020,2020,M07,JUL,July,4.2,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.2,6.6,2.4,4.2,7,1.6,5.7,6.9,1,48,,,,,,
JTS000000020000000QUR         ,8/1/2020,2020,M08,AUG,August,2.8,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.7,6.5,1.4,2.8,4.5,2.1,4.6,7.7,1,48,,,,,,
JTS000000020000000QUR         ,9/1/2020,2020,M09,SEP,September,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.9,7.5,1.4,2.7,4.4,1.5,3.2,7.9,1,48,,,,,,
JTS000000020000000QUR         ,10/1/2020,2020,M10,OCT,October,2,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.5,5.9,1,2,3,2.6,3.9,7.3,1,48,,,,,,
JTS000000020000000QUR         ,11/1/2020,2020,M11,NOV,November,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.7,6.2,2.3,2.3,4.9,1.2,3.8,6.8,1,48,,,,,,
JTS000000020000000QUR         ,12/1/2020,2020,M12,DEC,December,3.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,6.7,5.6,2.3,3.6,6.2,2,6.9,7.3,1,48,,,,,,
JTS000000020000000QUR         ,1/1/2021,2021,M01,JAN,January,4.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,7,6.3,2.3,4.3,6.9,2.2,7.5,7.9,1,48,,,,,,
JTS000000020000000QUR         ,2/1/2021,2021,M02,FEB,February,3.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,7.3,6.2,2,3.9,6.6,2.5,7.7,8.4,1,48,,,,,,
JTS000000020000000QUR         ,3/1/2021,2021,M03,MAR,March,3.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,7.8,6.5,2.3,3.6,6.2,2.1,7.1,8.5,1,48,,,,,,
JTS000000020000000QUR         ,4/1/2021,2021,M04,APR,April,3.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,7.3,5.6,2,3.6,5.9,2.7,7.9,8.2,1,48,,,,,,
JTS000000020000000QUR         ,5/1/2021,2021,M05,MAY,May,3.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,5.6,3.3,1,3.3,4.9,5.6,9.3,7,1,48,,,,,,
JTS000000020000000QUR         ,6/1/2021,2021,M06,JUN,June,4,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,7.1,3,1.3,4,5.7,6.2,13.2,8.7,1,48,,,,,,
JTS000000020000000QUR         ,7/1/2021,2021,M07,JUL,July,4.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,10.6,7.9,1.6,4.3,6.2,4.4,11.1,12.6,1,48,,,,,,
JTS000000020000000QUR         ,8/1/2021,2021,M08,AUG,August,3.9,R,Rate,P,S,0,0,0,Total nonfarm,1,0,2,Alaska,7,2,9,6.6,1.6,3.9,5.9,3.9,9.9,10.6,1,48,,,,,,
JTS000000040000000QUR         ,1/1/2019,2019,M01,JAN,January,2.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,6.3,4.2,0.9,2.9,4.1,5.6,8.2,7.7,6,14,,,,,,
JTS000000040000000QUR         ,2/1/2019,2019,M02,FEB,February,3,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.5,3.9,0.9,3,4.1,5.1,7.5,6.8,6,14,,,,,,
JTS000000040000000QUR         ,3/1/2019,2019,M03,MAR,March,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.2,4.4,1.1,2.4,3.7,2.9,4.9,6,6,14,,,,,,
JTS000000040000000QUR         ,4/1/2019,2019,M04,APR,April,2.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.9,4.8,1.2,2.9,4.2,2.5,4.7,5.7,6,14,,,,,,
JTS000000040000000QUR         ,5/1/2019,2019,M05,MAY,May,3,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.9,4.5,1.4,3,4.6,3.1,6.7,6.8,6,14,,,,,,
JTS000000040000000QUR         ,6/1/2019,2019,M06,JUN,June,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.7,4.3,0.9,2.6,3.6,3.3,4.8,5.6,6,14,,,,,,
JTS000000040000000QUR         ,7/1/2019,2019,M07,JUL,July,2.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.8,4.2,1,2.9,4.1,3.5,5.6,5.8,6,14,,,,,,
JTS000000040000000QUR         ,8/1/2019,2019,M08,AUG,August,2.8,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.9,4.4,1.1,2.8,4.2,3,5.2,5.8,6,14,,,,,,
JTS000000040000000QUR         ,9/1/2019,2019,M09,SEP,September,3,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.5,4.4,1.6,3,4.8,2.6,6.2,6.2,6,14,,,,,,
JTS000000040000000QUR         ,10/1/2019,2019,M10,OCT,October,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.4,4.8,1,2.7,4,2.3,3.7,5.3,6,14,,,,,,
JTS000000040000000QUR         ,11/1/2019,2019,M11,NOV,November,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.9,3.7,0.9,2.6,3.8,4.2,6.1,5.9,6,14,,,,,,
JTS000000040000000QUR         ,12/1/2019,2019,M12,DEC,December,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.8,3.4,0.8,2.3,3.5,4.6,6,5.9,6,14,,,,,,
JTS000000040000000QUR         ,1/1/2020,2020,M01,JAN,January,2.7,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.9,4.3,1,2.7,3.8,3.3,5.2,5.8,6,14,,,,,,
JTS000000040000000QUR         ,2/1/2020,2020,M02,FEB,February,2.6,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5,4.1,1.1,2.6,3.9,3.2,5.5,5.9,6,14,,,,,,
JTS000000040000000QUR         ,3/1/2020,2020,M03,MAR,March,1.8,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.2,4,6.6,1.8,8.6,0.3,2.3,3.6,6,14,,,,,,
JTS000000040000000QUR         ,4/1/2020,2020,M04,APR,April,1.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4,2.8,6.4,1.9,8.5,0.5,3.5,3.4,6,14,,,,,,
JTS000000040000000QUR         ,5/1/2020,2020,M05,MAY,May,1.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.7,7.4,1.3,1.3,2.9,-1.1,-1.9,4.9,6,14,,,,,,
JTS000000040000000QUR         ,6/1/2020,2020,M06,JUN,June,1.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.6,5.5,1.3,1.9,3.5,0.8,1.5,5,6,14,,,,,,
JTS000000040000000QUR         ,7/1/2020,2020,M07,JUL,July,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,4.7,3.7,1.5,2.4,4.3,2.3,5,5.2,6,14,,,,,,
JTS000000040000000QUR         ,8/1/2020,2020,M08,AUG,August,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.3,4.9,1,2.3,3.4,2.7,4.2,6.1,6,14,,,,,,
JTS000000040000000QUR         ,9/1/2020,2020,M09,SEP,September,2.9,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.1,5,1.1,2.9,4.3,2.7,4.8,6.1,6,14,,,,,,
JTS000000040000000QUR         ,10/1/2020,2020,M10,OCT,October,2.5,R,Rate,,S,0,0,0,Total nonfarm,1,0,4,Arizona,8,2,5.3,4.3,0.9,2.5,3.5,3.9,5.6,6.3,6,14,,,,,,
